20241016-16:10:58 - ---------------------------------------------------------------------------
20241016-16:11:00 - 取得公藥消耗帳,(2024/07/18 16:10:56-2024/10/16 16:10:56)共<3196>筆
20241016-16:11:06 - 藥碼 : D2135 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2086 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1097 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2024 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2158 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2099 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1072 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1105 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2081 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2145 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2012 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1102 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1008 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1175 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2106 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2133 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2055 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1193 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1244 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1080 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1187 ,找無售價資料
20241016-16:11:06 - 藥碼 : F2006 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2159 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2128 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2036 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2151 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1094 ,找無售價資料
20241016-16:11:06 - 藥碼 : G1007 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1147 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1014 ,找無售價資料
20241016-16:11:06 - 藥碼 : F2010 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2057 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2198 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2030 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1127 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1118 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2042 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1056 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2175 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1057 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2098 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2035 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2052 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2038 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2071 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1020 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2140 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1171 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1065 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2018 ,找無售價資料
20241016-16:11:06 - 藥碼 : D1078 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2120 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1117 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2029 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1049 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2187 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1237 ,找無售價資料
20241016-16:11:07 - 藥碼 : G2005 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2065 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1095 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1205 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1037 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1215 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2091 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1108 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1240 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1035 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1053 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2095 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2051 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1148 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1179 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2113 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2105 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2190 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1022 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1190 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2199 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2134 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2108 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1192 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2179 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1146 ,找無售價資料
20241016-16:11:07 - 藥碼 : G2009 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1058 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2079 ,找無售價資料
20241016-16:11:07 - 藥碼 : G2003 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1119 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2085 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1003 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2059 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2157 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1210 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2067 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2027 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1197 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2089 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1063 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1141 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1211 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1188 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2100 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1046 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2185 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2163 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2184 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2075 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1150 ,找無售價資料
20241016-16:11:07 - 藥碼 : D1131 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2191 ,找無售價資料
20241016-16:11:07 - 藥碼 : D2143 ,找無售價資料
20241016-16:11:08 - 藥碼 : D1064 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2080 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2041 ,找無售價資料
20241016-16:11:08 - 藥碼 : D1310 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2026 ,找無售價資料
20241016-16:11:08 - 藥碼 : F2004 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2170 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2160 ,找無售價資料
20241016-16:11:08 - 藥碼 : D1153 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2153 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2299 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2037 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2186 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2063 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2077 ,找無售價資料
20241016-16:11:08 - 藥碼 : D1161 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2050 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2129 ,找無售價資料
20241016-16:11:08 - 藥碼 : D1241 ,找無售價資料
20241016-16:11:08 - 藥碼 : D1070 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2053 ,找無售價資料
20241016-16:11:08 - 藥碼 : D2183 ,找無售價資料
