20240630-23:56:11 - ---------------------------------------------------------------------------
20240630-23:56:12 - 取得公藥消耗帳,(2024/04/01 23:56:11-2024/06/30 23:56:11)共<2989>筆
20240630-23:56:17 - 藥碼 : D2065 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1240 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1095 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1084 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1105 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2029 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1247 ,找無售價資料
20240630-23:56:17 - 藥碼 : F2006 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1078 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1118 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2119 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1110 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1054 ,找無售價資料
20240630-23:56:17 - 藥碼 : G1010 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2085 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1193 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1102 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2108 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1014 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2169 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2145 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2299 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2068 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1067 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1094 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1033 ,找無售價資料
20240630-23:56:17 - 藥碼 : G2015 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1175 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1080 ,找無售價資料
20240630-23:56:17 - 藥碼 : G2020 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1174 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1187 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2055 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2157 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1217 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1286 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2042 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2140 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2142 ,找無售價資料
20240630-23:56:17 - 藥碼 : G1007 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2051 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2012 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1148 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1037 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2063 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2099 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2066 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1083 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2126 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2104 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1022 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1205 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1179 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2076 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1119 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2057 ,找無售價資料
20240630-23:56:17 - 藥碼 : F2004 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2195 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1100 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1237 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2120 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2198 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2038 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2125 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1192 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1141 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1172 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1211 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1310 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2077 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2041 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1231 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1035 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1066 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1178 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2064 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1239 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1154 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1197 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1059 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1056 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1163 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2035 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1065 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2044 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2144 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2165 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1079 ,找無售價資料
20240630-23:56:18 - 藥碼 : G2009 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1150 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2098 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1057 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1050 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1038 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2106 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2185 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2020 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2039 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2024 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1246 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1015 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2178 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2067 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1034 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1151 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2190 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1062 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1136 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1155 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1233 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2192 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2095 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2059 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1134 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1127 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1101 ,找無售價資料
20240630-23:56:18 - 藥碼 : G2003 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1020 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1245 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1210 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2150 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2079 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2086 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1092 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1117 ,找無售價資料
20240630-23:56:18 - 藥碼 : G1030 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2002 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2075 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2097 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1116 ,找無售價資料
20240630-23:56:18 - 藥碼 : F2002 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1165 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2133 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2239 ,找無售價資料
20240630-23:56:18 - 藥碼 : F1038 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1223 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2186 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1208 ,找無售價資料
20240630-23:56:18 - 藥碼 : G2007 ,找無售價資料
20240630-23:56:18 - 藥碼 : D2052 ,找無售價資料
20240630-23:56:18 - 藥碼 : D1215 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1153 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1051 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1063 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1017 ,找無售價資料
20240630-23:56:19 - 藥碼 : F1036 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1090 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2088 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1082 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1004 ,找無售價資料
20240630-23:56:19 - 藥碼 : F1037 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2054 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2100 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1131 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1235 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1243 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1061 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1060 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1236 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1103 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1077 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1209 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1137 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2090 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1173 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2110 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1128 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2083 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1146 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1007 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2109 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2034 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1019 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2174 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1064 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1039 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1044 ,找無售價資料
20240630-23:56:19 - 藥碼 : D2001 ,找無售價資料
20240630-23:56:19 - 藥碼 : D1147 ,找無售價資料
20240630-23:56:19 - ABC類分類完成,全部<1528>種藥品,A類共<151>種藥品,B類共<300>種藥品,C類共<1077>種藥品
20240630-23:56:21 - (1)     更新安全基準量 (04627)100mg Keytruda Inj 100mg/4ml           安全量 : 9 ,基準量 : 18
20240630-23:56:21 - (2)     更新安全基準量 (20614)Eylea inj 2mg/0.05ml                   安全量 : 14 ,基準量 : 28
20240630-23:56:21 - (3)     更新安全基準量 (04603)Tagrisso Tab 80mg(Osimertinib)         安全量 : 67 ,基準量 : 134
20240630-23:56:21 - (1)     異常安全基準量 (21413)Onpattro Inj 10mg/5ml(Patisiran)       安全量 : 0 ,基準量 : 1
20240630-23:56:21 - (4)     更新安全基準量 (21261)2.5mg Adempas FC Tab (Riociguat)       安全量 : 142 ,基準量 : 284
20240630-23:56:21 - (5)     更新安全基準量 (04617)Alecensa Cap 150mg(Alectinib)          安全量 : 416 ,基準量 : 833
20240630-23:56:21 - (6)     更新安全基準量 (04572)Giotrif Tab 30mg(Afatinib)             安全量 : 110 ,基準量 : 221
20240630-23:56:21 - (7)     更新安全基準量 (04558)Avastin Inj 100mg/4ml                  安全量 : 19 ,基準量 : 39
20240630-23:56:21 - (8)     更新安全基準量 (21406)(Syringe) Xolair Inj 150mg             安全量 : 9 ,基準量 : 19
20240630-23:56:21 - (9)     更新安全基準量 (04573)Giotrif Tab 40mg(Afatinib)             安全量 : 94 ,基準量 : 189
20240630-23:56:21 - (10)    更新安全基準量 (21202)Prolia Inj 60mg/ml(Denosumab)          安全量 : 21 ,基準量 : 42
20240630-23:56:21 - (11)    更新安全基準量 (04567)Perjeta Inj 420mg(Pertuzumab)          安全量 : 1 ,基準量 : 3
20240630-23:56:21 - (12)    更新安全基準量 (04698)Tepmetko Tab 225mg(Tepotinib)          安全量 : 28 ,基準量 : 57
20240630-23:56:21 - (13)    更新安全基準量 (04241)500mg/20ml Pexeda Inj_Pemetrexed       安全量 : 4 ,基準量 : 9
20240630-23:56:21 - (14)    更新安全基準量 (06005)Human Albumin 20% 50ml"BEHRING"        安全量 : 110 ,基準量 : 221
20240630-23:56:21 - (15)    更新安全基準量 (16702)Ozempic Inj 4mg(Semaglutide)           安全量 : 21 ,基準量 : 43
20240630-23:56:21 - (16)    更新安全基準量 (04586)150mg Ofev Cap(Nintedanib)             安全量 : 83 ,基準量 : 166
20240630-23:56:21 - (17)    更新安全基準量 (04570)Herceptin Inj 1mg (Trastuzumab)        安全量 : 717 ,基準量 : 1434
20240630-23:56:21 - (18)    更新安全基準量 (04330)Xtandi Soft Cap 40mg                   安全量 : 165 ,基準量 : 331
20240630-23:56:21 - (19)    更新安全基準量 (04114)Lipo-Dox 20mg/10ml(Doxorubicin)        安全量 : 6 ,基準量 : 12
20240630-23:56:21 - (20)    更新安全基準量 (04344)Xtandi Tab 40mg (Enzalutamide)         安全量 : 138 ,基準量 : 277
20240630-23:56:21 - (21)    更新安全基準量 (04544)Erbitux 100mg/20ml(Cetuximab)          安全量 : 10 ,基準量 : 20
20240630-23:56:21 - (2)     異常安全基準量 (10062)Xofigo Inj (Radium-223 Chloride)       安全量 : 0 ,基準量 : 0
20240630-23:56:21 - (22)    更新安全基準量 (21355)Evenity Inj 105mg/1.17ml/Syringe       安全量 : 15 ,基準量 : 30
20240630-23:56:21 - (23)    更新安全基準量 (21366)Zejula Cap 100mg(Niraparib)            安全量 : 19 ,基準量 : 39
20240630-23:56:21 - (24)    更新安全基準量 (21165)Revatio Tab 20mg(Sildenafil)           安全量 : 255 ,基準量 : 511
20240630-23:56:21 - (25)    更新安全基準量 (09072)Dynastat Inj 40mg(Parecoxib)           安全量 : 84 ,基準量 : 169
20240630-23:56:21 - (26)    更新安全基準量 (05275)SPIOLTO Respimat IH 60puffs            安全量 : 33 ,基準量 : 66
20240630-23:56:21 - (27)    更新安全基準量 (04594)100mg/10ml Opdivo Inj(Nivolumab)       安全量 : 1 ,基準量 : 2
20240630-23:56:21 - (28)    更新安全基準量 (18329)Envacgen Inj 0.5ml(EV71 vaccine)       安全量 : 12 ,基準量 : 24
20240630-23:56:21 - (29)    更新安全基準量 (21241)(RARE) Opsumit Tab 10mg                安全量 : 15 ,基準量 : 30
20240630-23:56:21 - (30)    更新安全基準量 (12119)(Prefilled Pen) Nucala Inj 100mg       安全量 : 1 ,基準量 : 3
20240630-23:56:21 - (31)    更新安全基準量 (11109)Sod. Chloride Inj 0.9% 500ml/bag       安全量 : 1832 ,基準量 : 3664
20240630-23:56:22 - (32)    更新安全基準量 (06241)Thrombifree Tab 75mg(Clopidogrel       安全量 : 2503 ,基準量 : 5006
20240630-23:56:22 - (33)    更新安全基準量 (15028)Bridion Inj 200mg/2ml                  安全量 : 10 ,基準量 : 21
20240630-23:56:22 - (34)    更新安全基準量 (04629)Lynparza Tab 150mg(Olaparib)           安全量 : 35 ,基準量 : 70
20240630-23:56:22 - (35)    更新安全基準量 (21225)Xgeva Inj 120mg(Denosumab)             安全量 : 4 ,基準量 : 9
20240630-23:56:22 - (36)    更新安全基準量 (21327)Xeljanz XR Tab 11mg(Tofacitinib)       安全量 : 46 ,基準量 : 93
20240630-23:56:22 - (37)    更新安全基準量 (50061)Epclusa FC Tab                         安全量 : 17 ,基準量 : 34
20240630-23:56:22 - (38)    更新安全基準量 (16704)Ryzodeg Inj 3ml                        安全量 : 79 ,基準量 : 158
20240630-23:56:22 - (39)    更新安全基準量 (07298)100mg Entresto FC Tab                  安全量 : 613 ,基準量 : 1227
20240630-23:56:22 - (40)    更新安全基準量 (03220)Vfend Inj 200mg(Voriconazole)          安全量 : 9 ,基準量 : 19
20240630-23:56:22 - (41)    更新安全基準量 (06254)2ml Tisseel Sol for sealant            安全量 : 2 ,基準量 : 4
20240630-23:56:22 - (42)    更新安全基準量 (18324)Gardasil 9 Vaccine 0.5ml               安全量 : 6 ,基準量 : 12
20240630-23:56:22 - (43)    更新安全基準量 (04638)Kisqali Tab 200mg(Ribociclib)          安全量 : 30 ,基準量 : 61
20240630-23:56:22 - (44)    更新安全基準量 (50063)Biktarvy Tab                           安全量 : 70 ,基準量 : 140
20240630-23:56:22 - (45)    更新安全基準量 (11838)Hemodialysis Conc. 300 10L             安全量 : 167 ,基準量 : 335
20240630-23:56:22 - (46)    更新安全基準量 (08124)Ultane IH Sol 250ml(Sevoflurane)       安全量 : 9 ,基準量 : 18
20240630-23:56:22 - (47)    更新安全基準量 (21313)(CM)Opsumit(CM) Tab 10mg               安全量 : 13 ,基準量 : 27
20240630-23:56:22 - (48)    更新安全基準量 (50043)25mg VemLIDY FC Tab (TAF)              安全量 : 272 ,基準量 : 545
20240630-23:56:22 - (49)    更新安全基準量 (04320)11.25mg (3M) Leuplin Depot             安全量 : 3 ,基準量 : 7
20240630-23:56:22 - (50)    更新安全基準量 (03217)AmBisome Inj 50mg                      安全量 : 8 ,基準量 : 17
20240630-23:56:22 - (51)    更新安全基準量 (04598)Onivyde TM Inj 50mg/10ml               安全量 : 1 ,基準量 : 2
20240630-23:56:22 - (52)    更新安全基準量 (05140)Spiriva Respimat IH 60puffs            安全量 : 21 ,基準量 : 43
20240630-23:56:22 - (53)    更新安全基準量 (06132)NESP Inj 20mcg/0.5ml                   安全量 : 48 ,基準量 : 97
20240630-23:56:22 - (54)    更新安全基準量 (04671)Lorviqua Tab 25mg(Lorlatinib)          安全量 : 24 ,基準量 : 49
20240630-23:56:22 - (55)    更新安全基準量 (21238)Enbrel Inj 50mg(Etanercept)            安全量 : 4 ,基準量 : 8
20240630-23:56:22 - (56)    更新安全基準量 (04663)Mvasi Inj 100mg/4ml(Bevacizumab)       安全量 : 5 ,基準量 : 11
20240630-23:56:22 - (57)    更新安全基準量 (05272)Relvar Ellipta 92/22 mcg Inhaler       安全量 : 38 ,基準量 : 76
20240630-23:56:22 - (58)    更新安全基準量 (50038)Rapiacta Inj 300mg/60ml(SelfPay)       安全量 : 15 ,基準量 : 31
20240630-23:56:22 - (59)    更新安全基準量 (10035)Omnipaque Inj 100ml 350mg I/ml         安全量 : 33 ,基準量 : 67
20240630-23:56:22 - (60)    更新安全基準量 (04335)Erleada Tab 60mg(Apalutamide)          安全量 : 51 ,基準量 : 103
20240630-23:56:22 - (61)    更新安全基準量 (06252)110mg Pradaxa Cap(Dabigatran)          安全量 : 722 ,基準量 : 1445
20240630-23:56:22 - (62)    更新安全基準量 (21200)50mg/0.5ml Simponi Inj(Golimumab       安全量 : 1 ,基準量 : 2
20240630-23:56:22 - (63)    更新安全基準量 (04614)125mg Ibrance Cap(Palbociclib)         安全量 : 7 ,基準量 : 14
20240630-23:56:22 - (64)    更新安全基準量 (03446)Pipe Tazo Inj "CYH"4.5gm               安全量 : 210 ,基準量 : 420
20240630-23:56:22 - (65)    更新安全基準量 (20661)Vabysmo inj 6mg/0.05ml                 安全量 : 1 ,基準量 : 2
20240630-23:56:22 - (66)    更新安全基準量 (16391)Glyxambi Tab 25/5mg                    安全量 : 830 ,基準量 : 1660
20240630-23:56:22 - (3)     異常安全基準量 (21311)Tremfya Inj 100mg/ml(Guselkumab)       安全量 : 0 ,基準量 : 0
20240630-23:56:22 - (67)    更新安全基準量 (10045)Dotarem Inj 60ml                       安全量 : 4 ,基準量 : 8
20240630-23:56:22 - (4)     異常安全基準量 (04621)Tecentriq Inj 1200mg/20ml              安全量 : 0 ,基準量 : 0
20240630-23:56:22 - (68)    更新安全基準量 (21287)Cimzia Inj 200mg/ml                    安全量 : 2 ,基準量 : 4
20240630-23:56:22 - (69)    更新安全基準量 (10047)MultiHance Inj 20ml                    安全量 : 7 ,基準量 : 15
20240630-23:56:22 - (70)    更新安全基準量 (12064)Actein Effervescent Tab 600mg          安全量 : 4769 ,基準量 : 9538
20240630-23:56:22 - (71)    更新安全基準量 (21264)125mg Tracleer FC Tab                  安全量 : 14 ,基準量 : 29
20240630-23:56:22 - (72)    更新安全基準量 (05422)Soma Cap                               安全量 : 13417 ,基準量 : 26835
20240630-23:56:22 - (72)    更新安全基準量 (21078)Botox Inj 100 units                    安全量 : 3 ,基準量 : 6
20240630-23:56:22 - (73)    更新安全基準量 (03354)Zerbaxa Inj 1.5g                       安全量 : 15 ,基準量 : 31
20240630-23:56:22 - (5)     異常安全基準量 (04623)(SC) Herceptin Inj for SC 600mg        安全量 : 0 ,基準量 : 1
20240630-23:56:22 - (74)    更新安全基準量 (06266)30mg Lixiana FC Tab(Edoxaban)          安全量 : 348 ,基準量 : 697
20240630-23:56:22 - (75)    更新安全基準量 (03219)200mg Vfend Tab(Voriconazole)          安全量 : 18 ,基準量 : 37
20240630-23:56:22 - (76)    更新安全基準量 (21260)2mg Adempas FC Tab (Riociguat)         安全量 : 14 ,基準量 : 29
20240630-23:56:22 - (6)     異常安全基準量 (04576)Kadcyla Inj 20mg/ml 160mg/Vial         安全量 : 0 ,基準量 : 0
20240630-23:56:22 - (77)    更新安全基準量 (04624)Lucentis Inj 10mg/ml(Syringe)          安全量 : 1 ,基準量 : 2
20240630-23:56:22 - (78)    更新安全基準量 (07157)Livalo OD Tab 2mg(Pitavastatin)        安全量 : 2299 ,基準量 : 4598
20240630-23:56:22 - (79)    更新安全基準量 (21316)Cycos Cap 100mg(Cyclosporin)           安全量 : 218 ,基準量 : 436
20240630-23:56:22 - (80)    更新安全基準量 (20381)Steridal Sol 0.5% 500ml/bot            安全量 : 96 ,基準量 : 192
20240630-23:56:22 - (81)    更新安全基準量 (04422)Tynen Inj 80mg/4ml(Docetaxel)          安全量 : 3 ,基準量 : 6
20240630-23:56:22 - (82)    更新安全基準量 (08292)PCEA: Regimen 1  500ml                 安全量 : 2 ,基準量 : 5
20240630-23:56:22 - (83)    更新安全基準量 (10032)Iopamidol Inj 200ml 370mg I/ml         安全量 : 12 ,基準量 : 24
20240630-23:56:22 - (84)    更新安全基準量 (13211)Miyarisan-BM 1gm/pkg                   安全量 : 1242 ,基準量 : 2485
20240630-23:56:22 - (85)    更新安全基準量 (50035)Triumeq FC Tab (ABC/3TC/DTG)           安全量 : 39 ,基準量 : 79
20240630-23:56:22 - (7)     異常安全基準量 (21360)Skyrizi Inj 75mg(Risankizumab)         安全量 : 0 ,基準量 : 0
20240630-23:56:22 - (86)    更新安全基準量 (04423)Tynen Inj 20mg/ml(Docetaxel)           安全量 : 11 ,基準量 : 22
20240630-23:56:22 - (87)    更新安全基準量 (21365)Nerlynx Tab 40mg(Neratinib)            安全量 : 16 ,基準量 : 32
20240630-23:56:22 - (88)    更新安全基準量 (13482)Akynzeo Cap 300/0.5mg                  安全量 : 11 ,基準量 : 23
20240630-23:56:22 - (89)    更新安全基準量 (06106)Eprex Inj 2000 IU/0.5ml                安全量 : 84 ,基準量 : 169
20240630-23:56:22 - (90)    更新安全基準量 (21067)Broen-C E.C. Tab                       安全量 : 5606 ,基準量 : 11212
20240630-23:56:22 - (91)    更新安全基準量 (06260)5mg Eliquis Tab (Apixaban)             安全量 : 722 ,基準量 : 1444
20240630-23:56:22 - (92)    更新安全基準量 (04655)Ogivri Inj 1mg(Trastuzumab)            安全量 : 318 ,基準量 : 637
20240630-23:56:22 - (93)    更新安全基準量 (06267)60mg Lixiana FC Tab(Edoxaban)          安全量 : 288 ,基準量 : 576
20240630-23:56:22 - (94)    更新安全基準量 (16376)2.5/850mg Trajenta Duo Tab             安全量 : 1890 ,基準量 : 3781
20240630-23:56:22 - (95)    更新安全基準量 (11373)Sodium Chloride Inj 0.9% 1000ml        安全量 : 469 ,基準量 : 939
20240630-23:56:22 - (96)    更新安全基準量 (21350)Olumiant Tab 4mg(Baricitinib)          安全量 : 17 ,基準量 : 34
20240630-23:56:22 - (8)     異常安全基準量 (21401)150mg Skyrizi Inj (Risankizumab)       安全量 : 0 ,基準量 : 0
20240630-23:56:22 - (97)    更新安全基準量 (05443)Cisatral Inj 10mg/5ml (IMPORT)         安全量 : 199 ,基準量 : 398
20240630-23:56:22 - (98)    更新安全基準量 (09208)Cecolex Capsules 200mg "C.H."          安全量 : 6579 ,基準量 : 13159
20240630-23:56:22 - (9)     異常安全基準量 (08738)350mg Invega Trinza PR Inj             安全量 : 0 ,基準量 : 1
