20240816-08:11:02 - ---------------------------------------------------------------------------
20240816-08:11:04 - 取得急診消耗帳,(2024/05/18 08:11:01-2024/08/16 08:11:01)共<11960>筆
20240816-08:11:09 - 藥碼 : D2086 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1067 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1094 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1102 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2055 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2091 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2140 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1175 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1080 ,找無售價資料
20240816-08:11:09 - 藥碼 : G2020 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2081 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1078 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1217 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2145 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1014 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2133 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2051 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2012 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2151 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1101 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1037 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1247 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2099 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1150 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1187 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2034 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1083 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2104 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1022 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1179 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2089 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2063 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1237 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1105 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2120 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1141 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1205 ,找無售價資料
20240816-08:11:09 - 藥碼 : F2010 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1038 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1172 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2077 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2067 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1193 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1231 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2198 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1054 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2057 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1049 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2085 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2030 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2183 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2128 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1239 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2042 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1056 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1192 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2041 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1057 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2098 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1154 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2052 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2038 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1065 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2080 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2157 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2100 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1064 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1050 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1066 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2134 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1163 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2187 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1211 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1035 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2024 ,找無售價資料
20240816-08:11:10 - 藥碼 : G2009 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2095 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2106 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1034 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1015 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1243 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1151 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2190 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1062 ,找無售價資料
20240816-08:11:10 - 藥碼 : G2007 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1155 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1233 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2192 ,找無售價資料
20240816-08:11:10 - 藥碼 : G2005 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2185 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1020 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1210 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2150 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2079 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2035 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1058 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1097 ,找無售價資料
20240816-08:11:10 - 藥碼 : F2004 ,找無售價資料
20240816-08:11:10 - 藥碼 : G1030 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2163 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2071 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1119 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1215 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1223 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2186 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2027 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1178 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1117 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1235 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2021 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1153 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1127 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1017 ,找無售價資料
20240816-08:11:10 - 藥碼 : F1036 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2059 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2075 ,找無售價資料
20240816-08:11:10 - 藥碼 : G1007 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1082 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2191 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2299 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2090 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1072 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1004 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1092 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2026 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1131 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2044 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1061 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1060 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1103 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1209 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1136 ,找無售價資料
20240816-08:11:10 - 藥碼 : F2002 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2036 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2039 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2174 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2132 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1241 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2001 ,找無售價資料
20240816-08:11:10 - 藥碼 : D2028 ,找無售價資料
20240816-08:11:10 - 藥碼 : D1147 ,找無售價資料
20240816-08:11:10 - 藥碼 : G2015 ,找無售價資料
20240816-08:11:11 - ABC類分類完成,全部<1400>種藥品,A類共<141>種藥品,B類共<280>種藥品,C類共<979>種藥品
20240816-08:11:14 - (1)     更新安全基準量 (20614)Eylea inj 2mg/0.05ml                   安全量 : 13 ,基準量 : 26
20240816-08:11:14 - (1)     更新安全基準量 (21413)Onpattro Inj 10mg/5ml(Patisiran)       安全量 : 1 ,基準量 : 1
20240816-08:11:14 - (2)     更新安全基準量 (21261)2.5mg Adempas FC Tab (Riociguat)       安全量 : 155 ,基準量 : 310
20240816-08:11:14 - (3)     更新安全基準量 (21406)(Syringe) Xolair Inj 150mg             安全量 : 12 ,基準量 : 25
20240816-08:11:14 - (4)     更新安全基準量 (21202)Prolia Inj 60mg/ml(Denosumab)          安全量 : 20 ,基準量 : 40
20240816-08:11:14 - (5)     更新安全基準量 (04586)150mg Ofev Cap(Nintedanib)             安全量 : 112 ,基準量 : 224
20240816-08:11:14 - (6)     更新安全基準量 (06005)Human Albumin 20% 50ml"BEHRING"        安全量 : 125 ,基準量 : 250
20240816-08:11:14 - (6)     更新安全基準量 (21401)150mg Skyrizi Inj (Risankizumab)       安全量 : 1 ,基準量 : 1
20240816-08:11:14 - (7)     更新安全基準量 (16702)Ozempic Inj 4mg(Semaglutide)           安全量 : 17 ,基準量 : 34
20240816-08:11:14 - (8)     更新安全基準量 (21241)(RARE) Opsumit Tab 10mg                安全量 : 19 ,基準量 : 39
20240816-08:11:14 - (9)     更新安全基準量 (21355)Evenity Inj 105mg/1.17ml/Syringe       安全量 : 15 ,基準量 : 31
20240816-08:11:14 - (9)     更新安全基準量 (12119)(Prefilled Pen) Nucala Inj 100mg       安全量 : 1 ,基準量 : 3
20240816-08:11:14 - (10)    更新安全基準量 (05275)SPIOLTO Respimat IH 60puffs            安全量 : 35 ,基準量 : 71
20240816-08:11:14 - (11)    更新安全基準量 (18329)Envacgen Inj 0.5ml(EV71 vaccine)       安全量 : 12 ,基準量 : 24
20240816-08:11:14 - (12)    更新安全基準量 (21165)Revatio Tab 20mg(Sildenafil)           安全量 : 243 ,基準量 : 487
20240816-08:11:14 - (13)    更新安全基準量 (06241)Thrombifree Tab 75mg(Clopidogrel       安全量 : 2626 ,基準量 : 5252
20240816-08:11:14 - (14)    更新安全基準量 (03220)Vfend Inj 200mg(Voriconazole)          安全量 : 11 ,基準量 : 22
20240816-08:11:14 - (15)    更新安全基準量 (16704)Ryzodeg Inj 3ml                        安全量 : 84 ,基準量 : 168
20240816-08:11:14 - (16)    更新安全基準量 (21327)Xeljanz XR Tab 11mg(Tofacitinib)       安全量 : 44 ,基準量 : 89
20240816-08:11:14 - (17)    更新安全基準量 (50063)Biktarvy Tab                           安全量 : 79 ,基準量 : 159
20240816-08:11:14 - (18)    更新安全基準量 (21225)Xgeva Inj 120mg(Denosumab)             安全量 : 4 ,基準量 : 8
20240816-08:11:14 - (19)    更新安全基準量 (07298)100mg Entresto FC Tab                  安全量 : 617 ,基準量 : 1234
20240816-08:11:14 - (20)    更新安全基準量 (50043)25mg VemLIDY FC Tab (TAF)              安全量 : 302 ,基準量 : 604
20240816-08:11:14 - (21)    更新安全基準量 (03446)Pipe Tazo Inj "CYH"4.5gm               安全量 : 292 ,基準量 : 585
20240816-08:11:14 - (22)    更新安全基準量 (06132)NESP Inj 20mcg/0.5ml                   安全量 : 57 ,基準量 : 115
20240816-08:11:14 - (23)    更新安全基準量 (18324)Gardasil 9 Vaccine 0.5ml               安全量 : 5 ,基準量 : 11
20240816-08:11:14 - (24)    更新安全基準量 (05140)Spiriva Respimat IH 60puffs            安全量 : 24 ,基準量 : 49
20240816-08:11:14 - (25)    更新安全基準量 (20661)Vabysmo inj 6mg/0.05ml                 安全量 : 1 ,基準量 : 3
20240816-08:11:14 - (26)    更新安全基準量 (21313)(CM)Opsumit(CM) Tab 10mg               安全量 : 13 ,基準量 : 27
20240816-08:11:14 - (27)    更新安全基準量 (21260)2mg Adempas FC Tab (Riociguat)         安全量 : 22 ,基準量 : 44
20240816-08:11:14 - (28)    更新安全基準量 (50038)Rapiacta Inj 300mg/60ml(SelfPay)       安全量 : 17 ,基準量 : 35
20240816-08:11:14 - (29)    更新安全基準量 (21264)125mg Tracleer FC Tab                  安全量 : 19 ,基準量 : 39
20240816-08:11:14 - (30)    更新安全基準量 (03217)AmBisome Inj 50mg                      安全量 : 8 ,基準量 : 17
20240816-08:11:14 - (31)    更新安全基準量 (21238)Enbrel Inj 50mg(Etanercept)            安全量 : 4 ,基準量 : 9
20240816-08:11:14 - (32)    更新安全基準量 (16391)Glyxambi Tab 25/5mg                    安全量 : 955 ,基準量 : 1911
20240816-08:11:14 - (33)    更新安全基準量 (21343)Lumicef Inj 210mg(Brodalumab)          安全量 : 2 ,基準量 : 4
20240816-08:11:14 - (34)    更新安全基準量 (05272)Relvar Ellipta 92/22 mcg Inhaler       安全量 : 37 ,基準量 : 75
20240816-08:11:14 - (35)    更新安全基準量 (21287)Cimzia Inj 200mg/ml                    安全量 : 2 ,基準量 : 5
20240816-08:11:14 - (35)    更新安全基準量 (21200)50mg/0.5ml Simponi Inj(Golimumab       安全量 : 1 ,基準量 : 2
20240816-08:11:14 - (36)    更新安全基準量 (03510)Tigelin Inj 50mg(Tigecycline)          安全量 : 20 ,基準量 : 40
20240816-08:11:14 - (37)    更新安全基準量 (05422)Soma Cap                               安全量 : 14244 ,基準量 : 28488
20240816-08:11:14 - (38)    更新安全基準量 (06252)110mg Pradaxa Cap(Dabigatran)          安全量 : 672 ,基準量 : 1345
20240816-08:11:14 - (39)    更新安全基準量 (12064)Actein Effervescent Tab 600mg          安全量 : 4849 ,基準量 : 9699
20240816-08:11:14 - (39)    更新安全基準量 (21404)TALTZ injection 80mg(Ixekizumab)       安全量 : 1 ,基準量 : 1
20240816-08:11:14 - (40)    更新安全基準量 (06266)30mg Lixiana FC Tab(Edoxaban)          安全量 : 358 ,基準量 : 716
20240816-08:11:14 - (41)    更新安全基準量 (07157)Livalo OD Tab 2mg(Pitavastatin)        安全量 : 2378 ,基準量 : 4757
20240816-08:11:14 - (42)    更新安全基準量 (03219)200mg Vfend Tab(Voriconazole)          安全量 : 17 ,基準量 : 35
20240816-08:11:14 - (43)    更新安全基準量 (13482)Akynzeo Cap 300/0.5mg                  安全量 : 12 ,基準量 : 25
20240816-08:11:14 - (44)    更新安全基準量 (30024)TPN_Smofkabiven Emulsion 1.48L         安全量 : 27 ,基準量 : 54
20240816-08:11:14 - (45)    更新安全基準量 (16376)2.5/850mg Trajenta Duo Tab             安全量 : 2095 ,基準量 : 4190
20240816-08:11:14 - (45)    更新安全基準量 (04624)Lucentis Inj 10mg/ml(Syringe)          安全量 : 1 ,基準量 : 1
20240816-08:11:14 - (46)    更新安全基準量 (21067)Broen-C E.C. Tab                       安全量 : 5920 ,基準量 : 11840
20240816-08:11:14 - (47)    更新安全基準量 (06260)5mg Eliquis Tab (Apixaban)             安全量 : 753 ,基準量 : 1507
20240816-08:11:14 - (48)    更新安全基準量 (06106)Eprex Inj 2000 IU/0.5ml                安全量 : 87 ,基準量 : 175
20240816-08:11:14 - (49)    更新安全基準量 (21316)Cycos Cap 100mg(Cyclosporin)           安全量 : 199 ,基準量 : 398
20240816-08:11:14 - (50)    更新安全基準量 (21350)Olumiant Tab 4mg(Baricitinib)          安全量 : 18 ,基準量 : 37
20240816-08:11:14 - (51)    更新安全基準量 (50035)Triumeq FC Tab (ABC/3TC/DTG)           安全量 : 37 ,基準量 : 74
20240816-08:11:14 - (52)    更新安全基準量 (06267)60mg Lixiana FC Tab(Edoxaban)          安全量 : 295 ,基準量 : 590
20240816-08:11:14 - (53)    更新安全基準量 (07162)Atozet Tab 10/20mg                     安全量 : 1239 ,基準量 : 2478
20240816-08:11:14 - (54)    更新安全基準量 (09072)Dynastat Inj 40mg(Parecoxib)           安全量 : 27 ,基準量 : 54
20240816-08:11:14 - (55)    更新安全基準量 (18315)Rotarix Oral Vaccine Suspension        安全量 : 8 ,基準量 : 17
20240816-08:11:14 - (56)    更新安全基準量 (07146)Rosulator Tab 10mg(Rosuvastatin)       安全量 : 3131 ,基準量 : 6263
20240816-08:11:14 - (57)    更新安全基準量 (16364)5mg Trajenta Tab (Linagliptin)         安全量 : 1315 ,基準量 : 2631
20240816-08:11:14 - (58)    更新安全基準量 (13211)Miyarisan-BM 1gm/pkg                   安全量 : 1068 ,基準量 : 2136
20240816-08:11:14 - (58)    更新安全基準量 (08738)350mg Invega Trinza PR Inj             安全量 : 1 ,基準量 : 1
20240816-08:11:14 - (59)    更新安全基準量 (09208)Cecolex Capsules 200mg "C.H."          安全量 : 6515 ,基準量 : 13030
20240816-08:11:14 - (60)    更新安全基準量 (06125)Mircera Inj 100mcg/0.3ml               安全量 : 6 ,基準量 : 12
20240816-08:11:14 - (61)    更新安全基準量 (13442)AluSA Tab                              安全量 : 8676 ,基準量 : 17353
20240816-08:11:14 - (62)    更新安全基準量 (21037)100mg Neoral Sandimmun Soft Cap        安全量 : 147 ,基準量 : 294
20240816-08:11:14 - (63)    更新安全基準量 (05280)Trelegy Ellipta IH 92/55/22 mcg        安全量 : 8 ,基準量 : 17
20240816-08:11:14 - (64)    更新安全基準量 (03329)Cefin Inj 2gm(Ceftriaxone)             安全量 : 69 ,基準量 : 139
20240816-08:11:14 - (65)    更新安全基準量 (06288)CoPlavix Tab 75mg/100mg                安全量 : 500 ,基準量 : 1000
20240816-08:11:14 - (65)    更新安全基準量 (21214)Orencia Inj 250mg(Abatacept)           安全量 : 2 ,基準量 : 4
20240816-08:11:14 - (66)    更新安全基準量 (21379)Mesa Inh Sol 600mg/3ml(Mesna)          安全量 : 453 ,基準量 : 907
20240816-08:11:14 - (67)    更新安全基準量 (13473)Pane Inj 40mg(Pantoprazole)            安全量 : 186 ,基準量 : 373
20240816-08:11:14 - (68)    更新安全基準量 (21364)Rinvoq ER Tab 15mg(Upadacitinib)       安全量 : 19 ,基準量 : 39
20240816-08:11:14 - (69)    更新安全基準量 (16144)Megest Oral Susp 40mg/ml 120ml         安全量 : 29 ,基準量 : 59
20240816-08:11:14 - (70)    更新安全基準量 (05278)(184/22)Relvar Ellipta 184/22mcg       安全量 : 12 ,基準量 : 25
20240816-08:11:14 - (71)    更新安全基準量 (11325)Ketosteril Tab 100's/box               安全量 : 989 ,基準量 : 1979
20240816-08:11:14 - (72)    更新安全基準量 (16707)14mg Rybelsus Tab 30's/box             安全量 : 92 ,基準量 : 184
20240816-08:11:14 - (73)    更新安全基準量 (20142)Avamys Nasal Spray 120doses/bot        安全量 : 98 ,基準量 : 196
20240816-08:11:14 - (74)    更新安全基準量 (03350)Zavicefta Inj 2/0.5g (2.5g/vial)       安全量 : 4 ,基準量 : 8
20240816-08:11:14 - (75)    更新安全基準量 (05143)25mg Betmiga PR Tab(Mirabegron)        安全量 : 724 ,基準量 : 1449
20240816-08:11:14 - (76)    更新安全基準量 (07057)Exforge Tab 5/80 mg                    安全量 : 2738 ,基準量 : 5476
20240816-08:11:14 - (77)    更新安全基準量 (13440)Omezol Cap 20mg(Omeprazole)            安全量 : 5423 ,基準量 : 10846
20240816-08:11:14 - (78)    更新安全基準量 (18012)Human Immunoglobulin 6% 50ml(3g)       安全量 : 2 ,基準量 : 4
20240816-08:11:14 - (79)    更新安全基準量 (09069)Fubifen PAP patch 4's 40mg/10gm        安全量 : 678 ,基準量 : 1356
20240816-08:11:14 - (80)    更新安全基準量 (07058)Sevikar 5/20mg F.C. Tab                安全量 : 1639 ,基準量 : 3278
20240816-08:11:14 - (81)    更新安全基準量 (50001)Levofloxacin Inj 750mg/150ml"CS"       安全量 : 30 ,基準量 : 60
20240816-08:11:14 - (82)    更新安全基準量 (16379)Forxiga FC Tab 10mg                    安全量 : 574 ,基準量 : 1149
20240816-08:11:15 - (83)    更新安全基準量 (05267)Anoro Ellipta 55/22mcg IH 30'S         安全量 : 10 ,基準量 : 21
20240816-08:11:15 - (84)    更新安全基準量 (20334)ENFULON Cream 0.1% 30gm                安全量 : 161 ,基準量 : 322
20240816-08:11:15 - (85)    更新安全基準量 (16382)Toujeo Inj 300u/ml, 1.5ml              安全量 : 24 ,基準量 : 49
20240816-08:11:15 - (86)    更新安全基準量 (03337)Cefa Inj 1gm (Cefazolin)               安全量 : 544 ,基準量 : 1089
20240816-08:11:15 - (86)    更新安全基準量 (18264)Bexsero Vaccine Inj 0.5ml              安全量 : 1 ,基準量 : 3
20240816-08:11:15 - (87)    更新安全基準量 (03422)Augmentin Tab 375mg                    安全量 : 2130 ,基準量 : 4261
20240816-08:11:15 - (88)    更新安全基準量 (21073)1mg Prograf Cap (Tacrolimus)           安全量 : 98 ,基準量 : 196
20240816-08:11:15 - (89)    更新安全基準量 (06143)Nivestim Inj 300mcg(Filgrastim)        安全量 : 8 ,基準量 : 17
20240816-08:11:15 - (90)    更新安全基準量 (10044)Visipaque Inj 320mgI/ml 100ml          安全量 : 14 ,基準量 : 28
20240816-08:11:15 - (91)    更新安全基準量 (16168)Visanne Tab 2mg(Dienogest)             安全量 : 530 ,基準量 : 1060
20240816-08:11:15 - (92)    更新安全基準量 (06282)2.5mg Eliquis Tab (Apixaban)           安全量 : 838 ,基準量 : 1677
20240816-08:11:15 - (93)    更新安全基準量 (05144)50mg Betmiga PR Tab(Mirabegron)        安全量 : 1222 ,基準量 : 2445
20240816-08:11:15 - (94)    更新安全基準量 (19060)Cobamamide Cap 500mcg                  安全量 : 16125 ,基準量 : 32250
20240816-08:11:15 - (95)    更新安全基準量 (06268)15mg Lixiana FC Tab(Edoxaban)          安全量 : 359 ,基準量 : 719
20240816-08:11:15 - (96)    更新安全基準量 (03634)Cubicin Inj 500mg(Daptomycin)          安全量 : 7 ,基準量 : 14
20240816-08:11:15 - (97)    更新安全基準量 (03432)Tapimycin Inj 2.25g "YUNG SHIN"        安全量 : 435 ,基準量 : 871
20240816-08:11:15 - (98)    更新安全基準量 (21192)Viartril-S Powder 1500mg               安全量 : 572 ,基準量 : 1144
20240816-08:11:15 - (99)    更新安全基準量 (13126)Ulstop 20mg Tab(Famotidine)            安全量 : 16158 ,基準量 : 32316
20240816-08:11:15 - (100)   更新安全基準量 (16388)Jardiance Duo 12.5/850mg               安全量 : 1567 ,基準量 : 3134
20240816-08:11:15 - (101)   更新安全基準量 (21352)5mg NicePower Tab 30#/Box              安全量 : 6 ,基準量 : 12
20240816-08:11:15 - (102)   更新安全基準量 (16387)Xigduo XR Tab 10mg/1gm                 安全量 : 897 ,基準量 : 1794
20240816-08:11:15 - (103)   更新安全基準量 (06113)250ug Lenograstim Inj(Granocyte)       安全量 : 14 ,基準量 : 28
20240816-08:11:15 - (104)   更新安全基準量 (03656)MeRoXin Inj 1000mg (Meropenem)         安全量 : 72 ,基準量 : 144
20240816-08:11:15 - (105)   更新安全基準量 (50074)Dovato Tab(DTG/3TC)                    安全量 : 50 ,基準量 : 100
20240816-08:11:15 - (106)   更新安全基準量 (21272)Duratocin Inj 100mcg(Carbetocin)       安全量 : 6 ,基準量 : 13
20240816-08:11:15 - (107)   更新安全基準量 (07114)Lipitor Tab 40mg (Atorvastatin)        安全量 : 1858 ,基準量 : 3717
20240816-08:11:15 - (108)   更新安全基準量 (03675)Teicod Inj 200mg (Teicoplanin)         安全量 : 72 ,基準量 : 144
20240816-08:11:15 - (109)   更新安全基準量 (08750)400mg Abilify Maintena Inj             安全量 : 2 ,基準量 : 5
20240816-08:11:15 - (110)   更新安全基準量 (03348)2gm Brosym Inj                         安全量 : 124 ,基準量 : 249
20240816-08:11:15 - (111)   更新安全基準量 (05331)8mg Urief Tab (Silodosin)              安全量 : 1720 ,基準量 : 3440
